Title,Type,Description,Level,Duration,Rating,Review Count,Skills Covered,Prerequisites,Instructor
Data Privacy,course,Equip yourself with industry-guided data privacy best practices for physical or virtual office environments.,beginner,3 Weeks,4.6,59,"Privacy Impact Assessments,  Data privacy fundamentals,  Data privacy classification,  Data privacy governance,  Data privacy checklists,  Data privacy best practices,  Data loss prevention,  Technical cybersecurity controls,  Procedural cybersecurity controls,  Cybersecurity controls,  NIST Cybersecurity framework,  Data privacy regulations",Understanding of data privacy regulations and cybersecurity best practices,https://www.cs.ucf.edu/wp-content/uploads/2022/04/Haiyan-Hu288edit-scaled.jpg
Cloud Computing for Business Leaders,nanodegree,Focus on the unique knowledge and skills that business leaders need to unlock the value of cloud technologies in their organizations.,intermediate,2 Weeks,4.6,59,"Digital transformation,  leadership,  management,  cloud governance model,  novel cloud services,  operational efficiencies,  cloud center of excellence","Word Processors, Spreadsheets, Presentation Tools",https://pngimg.com/d/mark_zuckerberg_PNG36.png
Security Architect,nanodegree,The goal of the Security Architect Nanodegree is to equip learners with the necessary skills to implement elements of security infrastructure design and management at an enterprise level.,intermediate,4 Weeks,4.6,59,"Threat Modeling,  DiD Framework,  Cybersecurity Risk Management,  Incident Response Playbooks,  Network Security Fundamentals,  Architecture Diagramming,  Access Control Matrices",Linux and AWS,https://pngimg.com/d/mark_zuckerberg_PNG36.png
Enterprise Security,nanodegree,"This program addresses security topics related to corporate environments, which are often distinct from production environments and center around the devices, identities, and infrastructure used by personnel on a daily basis.",intermediate,4 Weeks,4.2,59,"Device Hardening Strategy,  Cybersecurity Policy Writing,  Zero Trust Security Model,  Data Encryption,  Backup Strategy,  API Security,  Cloud Hardening Strategy,  Container Vulnerability Management,  IT Asset Management,  Secure Network Architecture Design,  Cybersecurity Compliance",Linux and Azure,https://pngimg.com/d/mark_zuckerberg_PNG36.png
AI Engineer using Microsoft Azure,nanodegree,"Master the skills necessary to implement machine learning models, build end-to-end AI solutions, and manage continuous improvement of an Azure AI solution.",advanced,3 Weeks,4.2,59,"Object Detection,  Image Classification,  Form Recognition,  Facial Recognition,  Face Detection,  Azure Cognitive Services,  Microsoft Bot Framework,  Azure Conversational AI Agents,  Architecture Diagramming,  Requirements Gathering,  Intent Recognition,  Key Phrase Extraction,  Azure Form Recognizer,  Bounding Boxes","Python, Microsoft Azure, JSON and REST programming semantics",https://pngimg.com/d/mark_zuckerberg_PNG36.png
Programming for Data Science with R,nanodegree,"Prepare for a data science career by learning the fundamental data programming tools: R, SQL, command line, and git.",beginner,3 Weeks,4.8,95,"R, SQL, Git",None,https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png
Zero Trust Security,course,Learners leave the course with a reinvigorated perspective on cybersecurity and a lexicon of practices and solutions that support what is rapidly becoming the new dominant strategy in enterprise security.,intermediate,3 Weeks,4.2,59,"Zero Trust Pillars,  Zero Trust Security Model,  Zero Trust Deployment Strategy,  Zero Trust Maturity Model,  Zero Trust Algorithms,  Cybersecurity Risk Management,  Perimeter Security",Familiarity with basic cybersecurity concepts and practices,https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png
Cybersecurity for Business Leaders,nanodegree,Learn to leverage the capabilities of cybersecurity best practices to protect your organization and unlock next-level results.,beginner,3 Weeks,4.2,66,"Basic Cybersecurity Implementation,  Threat Actors,  Security Devices,  Vulnerability Assessment,  Security Risk Classification,  Cybersecurity Fluency,  Cybersecurity Risk Management,  Cybersecurity Training Strategies,  Social Engineering,  Phishing,  Cybersecurity incident response playbooks,  Cybersecurity Regulations and Standards",No prior experience is required,https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png
Ethical AI,course,"Learn to apply ethical AI to minimize bias, while maximizing fairness and explainability, ensuring an ethical future for all.",intermediate,3 Weeks,4.2,66,"AI Fairness,  AI Governance,  AI Transparency,  Model Bias Analysis,  Model Bias Mitigation,  Explainable AI,  Ethical AI",AI & machine learning fundamentals,https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png 
AWS Machine Learning Foundations Course,free,Learn what machine learning is and the steps involved in building and evaluating models. Gain in demand skills needed at businesses working to solve challenges with AI.,intermediate,2 Weeks,4.2,66,"Computer vision,  Reinforcement learning,  Generative AI,  Machine Learning,  Object-oriented programming","Word Processors, Spreadsheets, Presentation Tools",https://en.wikipedia.org/wiki/Man#/media/File:Outdoors-man-portrait_(cropped).jpg
Introduction to Machine Learning using Microsoft Azure,free,"Gain a high-level introduction to the field of machine learning and prepare to use Azure Machine Learning Studio to train machine learning models. Plus, learn how to perform a variety of tasks on Azure Machine Learning labs â€” from data import, transformation and management to training, validating and evaluating models.",intermediate,2 Weeks,4.2,66,"Machine Learning,  Azure,  Model Training,  Supervised & Unsupervised Learning,  Responsible AI","Word Processors, Spreadsheets, Presentation Tools",https://pbs.twimg.com/profile_images/864282616597405701/M-FEJMZ0_400x400.jpg
AI Fundamentals,free,"AI Fundamentals is an entry point into the world of AI using Microsoft's cloud-based solutions, such as Azure Machine Learning and Azure Cognitive Services.",beginner,3 Weeks,4.1,66,"Artificial Intelligence,  Machine Learning,  Azure,  Computer Vision,  Azure Cognitive Services,  Natural Language Processing,  Conversational AI","Word Processors, Spreadsheets, Presentation Tools",https://pbs.twimg.com/profile_images/864282616597405701/M-FEJMZ0_400x400.jpg
Linear Algebra Refresher Course,free,Learn linear algebra by doing: you will code your own library of linear algebra functions!,intermediate,4 Weeks,4.1,57,"Algebra, Python, Vectors, Intersections","Word Processors, Spreadsheets, Presentation Tools",https://pbs.twimg.com/profile_images/864282616597405701/M-FEJMZ0_400x400.jpg
Machine Learning: Unsupervised Learning,free,Ever wonder how Netflix can predict what movies you'll like? Or how Amazon knows what you want to buy before you do? The answer can be found in Unsupervised Learning!,intermediate,3 Weeks,4.1,57,"Randomized Optimization, Clustering, Feature Selection, Feature Transformation, Information Theory","Word Processors, Spreadsheets, Presentation Tools",https://pbs.twimg.com/profile_images/864282616597405701/M-FEJMZ0_400x400.jpg
Big Data Analytics in Healthcare,free,"In this course, we introduce the characteristics of medical data and associated data mining challenges on dealing with such data. We cover various algorithms and systems.",intermediate,2 Weeks,4.1,88,"Data Analytics, Health Care Applications, Algorithms","Word Processors, Spreadsheets, Presentation Tools",https://pbs.twimg.com/profile_images/864282616597405701/M-FEJMZ0_400x400.jpg
IntelÂ® Edge AI Fundamentals with OpenVINOâ„¢,free,Stay at the cutting-edge of AI technology by gaining practical skills for deploying edge AI. Learn how to use the Intel Distribution of OpenVINO toolkit to deploy computer vision capabilities inside a range of edge applications.,intermediate,3 Weeks,4.7,88,"Edge AI, Intel OpenVINO, Computer Vision, Deep Learning","Word Processors, Spreadsheets, Presentation Tools",https://www.cs.ucf.edu/wp-content/uploads/2019/09/Gary-Leavens735edit-scaled.jpg
Artificial Intelligence,free,"This course gives a survey of topics in AI along with in-depth foundational concepts such as classical search, probability, machine learning, logic and planning.",intermediate,4 Weeks,4.7,88,"Artificial Intelligence, Probability, Bayesian Networks, Logic and Planning, Machine Learning","Word Processors, Spreadsheets, Presentation Tools",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Haiyan-Hu288edit-scaled.jpg
Secure and Private AI,free,Learn how to extend PyTorch with the tools necessary to train AI models that preserve user privacy.,advanced,2 Weeks,4.7,88,"Artificial Intelligence, Probability, Bayesian Networks, Logic and Planning, Machine Learning",Linux and AWS,https://wikibio.in/wp-content/uploads/2018/07/Mankirt-Aulakh.jpg
Model Building and Validation,free,This course will teach you how to start from scratch in understanding and paying attention to what is important in the data and how to answer questions about data.,advanced,8 Weeks,4.7,99,"Questioning, Modeling, Validation, Data Analysis, QMV Process",Linux and AWS,https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Jens_Fink-Jensen.jpg
Data Visualization and D3.js,free,Learn the fundamentals of data visualization and apply design and narrative concepts to create your own visualization.,intermediate,7 Weeks,4.7,99,"d3.js, Design of Visualizations, Data Visualization, Visual Encodings",Linux and AWS,https://en.wikipedia.org/wiki/Man#/media/File:Outdoors-man-portrait_(cropped).jpg
Machine Learning for Trading,free,Implement machine learning based strategies to make trading decisions using real-world data.,intermediate,4 Weeks,4.7,1900,"Pandas, Time Series Analysis, Computational Investing, Algorithmic Trading, Reinforcement Learning for Trading",Linux and AWS,https://en.wikipedia.org/wiki/Man#/media/File:Outdoors-man-portrait_(cropped).jpg
Machine Learning,free,"In this course, you'll learn how to apply Supervised, Unsupervised and Reinforcement Learning techniques for solving a range of data science problems.",intermediate,4 Weeks,4.7,356,"Supervised Learning, Unsupervised Learning, Information Theory, Reinforcement Learning, Game Theory",Linux and AWS,https://www.cs.ucf.edu/wp-content/uploads/2022/04/Haiyan-Hu288edit-scaled.jpg
Intro to Hadoop and MapReduce,free,"In this short course, learn the fundamentals of MapReduce and Apache Hadoop to start making sense of Big Data in the real world!",intermediate,3 Weeks,4.7,47,"Big Data, Hadoop, MapReduce",Linux and AWS,https://pngimg.com/d/mark_zuckerberg_PNG36.png
Real-Time Analytics with Apache Storm,free,"The world is trending in real time! Learn Apache Storm, taught by Twitter, to scalably analyze real-time tweets and drive d3 visualizations. Storm is free, open and fun!",intermediate,2 Weeks,4.7,94,"Data Analysis, Real-time Analytics, Apache Storm",Linux and AWS,https://pngimg.com/d/mark_zuckerberg_PNG36.png
A/B Testing,free,"This course will cover the design and analysis of A/B tests, also known as split tests, which are online experiments used to test potential improvements to a website or mobile application. ",intermediate,3 Weeks,4.7,94,"A/B tests,  Results Analysis,  Statistical Significance ",Linux and AWS,https://pngimg.com/d/mark_zuckerberg_PNG36.png
Data Analysis with R,free,Data is everywhere and so much of it is unexplored. Learn how to investigate and summarize data sets using R and eventually create your own analysis.,intermediate,2 Weeks,4.5,94,"R, Exploratory Data Analysis, Data Visualization","Statistics, Probability, and Business Experience",https://pngimg.com/d/mark_zuckerberg_PNG36.png
Knowledge-Based AI: Cognitive Systems,free,The twin goals of knowledge-based artificial intelligence (AI) are to build AI agents capable of human-level intelligence and gain insights into human cognition.,advanced,7 Weeks,4.5,94,"Semantic Networks, Common-Sense Reasoning, Logic & Planning, Analogical Reasoning, Visuospatial Reasoning","Statistics, Probability, and Business Experience",https://www.cs.ucf.edu/wp-content/uploads/2019/09/Gary-Leavens735edit-scaled.jpg
Introduction to TensorFlow Lite,free,Learn how to deploy deep learning models on mobile and embedded devices with TensorFlow Lite.,intermediate,2 Weeks,4.5,94,"TensorFlow Lite, Deep Learning Models, Android, iOS, Linux","Statistics, Probability, and Business Experience",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Haiyan-Hu288edit-scaled.jpg
Introduction to Computer Vision,free,"This course provides an introduction to computer vision including fundamentals, methods for application and machine learning classification.",intermediate,4 Weeks,4.5,94,"Image Processing, Stereo Geometry, Feature Detection & Matching, Object Tracking, Classification & Recognition","Statistics, Probability, and Business Experience",https://wikibio.in/wp-content/uploads/2018/07/Mankirt-Aulakh.jpg
Intro to TensorFlow for Deep Learning,free,"Developed by Google and Udacity, this course teaches a practical approach to deep learning for software developers.",intermediate,2 Weeks,4.5,77,"Image Processing, Stereo Geometry, Feature Detection & Matching, Object Tracking, Classification & Recognition","Statistics, Probability, and Business Experience",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Alisher_Saipov.jpg
Eigenvectors and Eigenvalues,free,Learn how to calculate eigenvalues and eigenvectors and why they are important for AI applications.,beginner,3 Weeks,4.5,77,"Linear Algebra, Eigenvectors, Eigenvalues","Statistics, Probability, and Business Experience",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Jens_Fink-Jensen.jpg
Intro to Artificial Intelligence,free,"This course will introduce you to the basics of AI. Topics include machine learning, probabilistic reasoning, robotics, computer vision, and natural language processing.",intermediate,4 Weeks,4.5,77,"Artificial Intelligence, Machine Learning, Probability, Logic and Planning, Markov models","Linux, Networking, Programming and Window OS",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Alisher_Saipov.jpg
Artificial Intelligence for Robotics,free,"Learn how to program all the major systems of a robotic car. Topics include planning, search, localization, tracking, and control.",advanced,2 Weeks,4.5,77,"Probabilistic Models, Kalman Filters, Motion Planning, Robot Control, Simultaneous Localization & Mapping","Linux, Networking, Programming and Window OS",https://en.wikipedia.org/wiki/Man#/media/File:Outdoors-man-portrait_(cropped).jpg
Intro to Deep Learning with PyTorch,free,Learn the basics of deep learning and implement your own deep neural networks with PyTorch,intermediate,2 Weeks,4.5,77,"Deep Learning, PyTorch, Neural Networks, CNNs, LSTMs, Style Transfer","Linux, Networking, Programming and Window OS",https://wikibio.in/wp-content/uploads/2018/07/Mankirt-Aulakh.jpg
AWS DeepRacer,free,Learn the fundamentals of machine learning and reinforcement learning in a fun and engaging way through autonomous driving with AWS DeepRacer.,intermediate,2 Weeks,4.5,77,"Machine Learning, Reinforcement Learning, AWS DeepRacer","Linux, Networking, Programming and Window OS",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Haiyan-Hu288edit-scaled.jpg
Reinforcement Learning,free,Learn how to engage with machine learning from a theoretical perspective. Explore automated decision-making and dive into advanced algorithms. ,advanced,4 Weeks,4.5,77,"Reinforcement Learning,  Temporal Difference,  Game Theory,  Partially Observable Markov Decision Processes (POMDP),  Machine Learning","Linux, Networking, Programming and Window OS",https://www.cs.ucf.edu/wp-content/uploads/2019/09/Gary-Leavens735edit-scaled.jpg
Introduction to Machine Learning Course,free,"This class will teach you the end-to-end process of investigating data through a machine learning lens. Learn online, with Udacity.",intermediate,10 Weeks,4.5,56,"Machine Learning, Supervised Learning, Unsupervised Learning, Evaluation Metrics, Data Manipulation","Linux, Networking, Programming and Window OS",https://pbs.twimg.com/profile_images/864282616597405701/M-FEJMZ0_400x400.jpg
Microsoft Power Platform,free,"Learn to build powerful and effective solutions with ease with Microsoft Power Platform. Created in partnership with the Microsoft Power Platform team, this course will introduce you to efficient low-code solutions for data analytics, app development, and artifical intelligence.",beginner,3 Weeks,4.5,56,"Microsoft Power Platform, Power Apps, Power Automate, Azure AI Builder","Linux, Networking, Programming and Window OS",https://pbs.twimg.com/profile_images/864282616597405701/M-FEJMZ0_400x400.jpg
Web Tooling & Automation,free,"In this course, youâ€™ll learn how to setup your development environment and save a lot of time and effort with automatic optimization.",intermediate,3 Weeks,4.5,56,"Installing Sublime Text, Installing Plugins, Gulp, Live Editing, ESLint","Linux, Networking, Programming and Window OS",https://pbs.twimg.com/profile_images/864282616597405701/M-FEJMZ0_400x400.jpg
Front End Frameworks,free,"Explore and build interactive, single-page applications with popular JavaScript frameworks!",advanced,8 Weeks,4.5,56,"Single Page Applications, Building Angular apps, Building Ember apps, Underscore's template function, Backbone events and routing","Linux, Networking, Programming and Window OS",https://pbs.twimg.com/profile_images/864282616597405701/M-FEJMZ0_400x400.jpg
Responsive Web Design Fundamentals,free,Learn and practice strategies for developing websites that look great on every device! Made with Google's Pete LePage.,intermediate,2 Weeks,4.5,56,"Responsive design patterns, Remote debugging and emulation, Optimizing layout, CSS media queries, CSS flexbox","Linux, Networking, Programming and Window OS",https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png
How to Install Android Studio,free,Participate in this short tutorial to install Android Studio on your computer and set up a new project using the program's Project Wizard.,beginner,3 Weeks,4.5,56,"Android, Android Studio, Java","HTML, CSS, Basic JavaScript, JSON",https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png
Website Performance Optimization,free,"Learn how browsers convert HTML, CSS and JavaScript into websites while you experiment with Chrome Developer Tools to measure and optimize website speed!",intermediate,3 Weeks,4.5,56,"Chrome Developer Tools, DOM and CSSOM, Critical Rendering Path HTML, CSS and JavaScript optimizations","HTML, CSS, Basic JavaScript, JSON",https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png
iOS Networking with Swift,free,Learn how to incorporate networking into your apps to access data from around the world. Build the On the Map app to share location and fun links with fellow students.,advanced,3 Weeks,4.5,56,"Networking, URLSession, JSON Parsing","HTML, CSS, Basic JavaScript, JSON",https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png
JavaScript Design Patterns,free,Learn the importance of code organization and how to implement it with either vanilla JavaScript or an organizational library or framework.,advanced,6 Weeks,4.5,56,"Separating concerns, Code organization, Using an Organizational Library, KnockoutJS","HTML, CSS, Basic JavaScript, JSON",https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png
Android Performance,free,"Performance matters to users, so it must matter to you. Learn how to identify and fix bottlenecks in your Android applications, and ensure a smooth user experience.",advanced,4 Weeks,4.5,45,"Android Development, Performance, Optimization","HTML, CSS, Basic JavaScript, JSON",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Paul-Gazzillo747edit-scaled.jpg 
Responsive Images,free,Go beyond image tags! Learn how to make images a part of your responsive design workflow.,intermediate,2 Weeks,4.5,45,"Responsive Images, Mobile Image debugging, Creating responsive graphics","HTML, CSS, Basic JavaScript, JSON",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Paul-Gazzillo747edit-scaled.jpg 
Xcode Debugging,free,"In this course, you'll learn standard methodologies for debugging software, and how to use Xcode's debugging tools to find and squash bugs.",advanced,3 Weeks,4.5,45,"Debugging, LLDB","HTML, CSS, Basic JavaScript, JSON",https://wikibio.in/wp-content/uploads/2018/07/Mankirt-Aulakh.jpg
Build Native Mobile Apps with Flutter,free,Learn from experts at Google how to use Flutter to craft high-quality native interfaces on iOS and Android devices in record time.,intermediate,2 Weeks,4.5,45,Android Development,"HTML, CSS, Basic JavaScript, JSON",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Jens_Fink-Jensen.jpg
JavaScript Promises,free,Learn how to simplify asynchronous work with Native JavaScript Promises!,advanced,3 Weeks,4.5,45,"Native JavaScript Promises, Asynchronous code, Advanced error handling, Generating sequences of async work","HTML, CSS, Basic JavaScript, JSON",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Alisher_Saipov.jpg
UIKit Fundamentals,free,"Learn the iOS UIKit framework, which is the cornerstone of creating user interfaces in all iOS apps and crucial for any iOS Developer to be intimately familiar with.",intermediate,2 Weeks,4.2,45,"AutoLayout, Navigation, Table Views, Collection Views","HTML, CSS, Basic JavaScript, JSON",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Jens_Fink-Jensen.jpg
Client-Server Communication,free,"Learn how a client communicates with a server, including HTTP's request and response cycle, HTTP/2 and HTTPs.",advanced,5 Weeks,4.2,45,"HTTP request and response cycle, HTTP headers and verbs, HTTP/1 and HTTP/2 capabilities, HTTPS, Client-Server Communication",Basic JavaScript,https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Alisher_Saipov.jpg
What is Programming?,free,This course is your first step towards a career in programming.,beginner,3 Weeks,4.2,89,"HTTP request and response cycle, HTTP headers and verbs, HTTP/1 and HTTP/2 capabilities, HTTPS, Client-Server Communication",Basic JavaScript,https://wikibio.in/wp-content/uploads/2018/07/Mankirt-Aulakh.jpg
Building High Conversion Web Forms,free,"Increase conversions with best practices for fast, efficient forms! Learn how to design and build web forms for users on any device.",intermediate,2 Weeks,4.2,89,"Research HTML5 input types, Datalist input, User input validation with HTML5 attributes, Validate user input using JavaScript, Optimizing forms",Basic JavaScript,https://pngimg.com/d/mark_zuckerberg_PNG36.png
Software Architecture & Design,free,Software Architecture and Design teaches the principles and concepts involved in the analysis and design of large software systems.,intermediate,2 Weeks,4.2,89,"Unified Modeling Language, Object Constraint Language, Software Architecture, Software Design, Code Review",Basic JavaScript,https://pngimg.com/d/mark_zuckerberg_PNG36.png
Intro to Information Security,free,,intermediate,,4.2,89,"Software Security, Cryptography, Network Security, Privacy, Public Policy",Basic JavaScript,https://pngimg.com/d/mark_zuckerberg_PNG36.png
Authentication & Authorization: OAuth,free,Learn to implement the OAuth 2.0 framework to allow users to securely and easily login to your web applications.,intermediate,2 Weeks,4.2,89,"Flask, OAuth 2.0, Authentication & Authorization, Python",Basic JavaScript,https://pngimg.com/d/mark_zuckerberg_PNG36.png
Intro to iOS App Development with Swift,free,Take the first step in becoming an iOS Developer by learning about Swift and writing your first app.,intermediate,3 Weeks,4.2,43,"Swift, UIKit, AVFoundation",Basic JavaScript,https://pngimg.com/d/mark_zuckerberg_PNG36.png
Introduction to Operating Systems,free,"Introduction to Operating Systems teaches the basic operating system abstractions, mechanisms, and their implementations.",intermediate,2 Weeks,4.2,43,"Processes & Threads, Memory Management, Inter-Process Communication, Resource Virtualization, Distributed File Systems",Basic JavaScript,https://pngimg.com/d/mark_zuckerberg_PNG36.png
Web Accessibility,free,"Get hands-on experience making web applications accessible. Youâ€™ll understand when and why users need accessibility, then youâ€™ll dive into how to implement.",advanced,2 Weeks,4.2,43,"Accessibility, Screen Readers, Focus, Semantics, ARIA",Basic JavaScript,https://www.cs.ucf.edu/wp-content/uploads/2019/09/Gary-Leavens735edit-scaled.jpg
Android Basics: Data Storage,free,"In this course, you'll learn the basics of data storage in Android, building your first database and an app that could be used for any small business!",beginner,8 Weeks,4.2,43,"Android Development, SQLite, ContentProvider, CursorAdapter & CursorLoader, Database, Design",Basic JavaScript,https://wikibio.in/wp-content/uploads/2018/07/Mankirt-Aulakh.jpg
Scalable Microservices with Kubernetes,free,"This course is designed to teach you about managing microservices, using Kubernetes. This course is built in partnership with experts such as Googleâ€™s Kelsey Hightower.",intermediate,3 Weeks,4.2,43,"Microservices, Docker, Kubernetes, Deploying Microservices",Basic JavaScript,https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Alisher_Saipov.jpg
Developing Android Apps with Kotlin,free,Learn the fundamentals of the Kotlin programming language from Kotlin experts at Google.,intermediate,2 Weeks,4.2,43,Android Development,"Prior experience with Python, Machine Learning, and Statistics",https://www.usf.edu/engineering/cse/images/goldgof-photo.jpg
Browser Rendering Optimization,free,This course will demystify the browser's rendering pipeline and make it easy for you to build high performance web apps.,advanced,3 Weeks,4.6,65,"Browser Rendering Response, Animation, Idle and Load (RAIL), Optimizing JavaScript, How to debug an app","Prior experience with Python, Machine Learning, and Statistics",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Jens_Fink-Jensen.jpg
Learn Swift Programming Syntax,free,"This course focuses on the syntax of the Swift programming language. By the end of the course, you'll be able to apply Swift essentials to building iOS apps.",intermediate,3 Weeks,4.6,65,"Variables and Constants, Control Flow, Functions, Optionals, OOP","Prior experience with Python, Machine Learning, and Statistics",https://rcpmag.com/-/media/ECG/redmondmag/Images/introimages/131004SchwartzGates.jpg
Offline Web Applications,free,Learn how to develop offline-first web application using Service Workers and IndexedDB.,intermediate,3 Weeks,4.6,65,"Developing offline-first applications, Understanding Lie-Fi, Service Worker DevTools, IndexedDB, IndexedDB asset caching","Prior experience with Python, Machine Learning, and Statistics",https://rcpmag.com/-/media/ECG/redmondmag/Images/introimages/131004SchwartzGates.jpg
Kotlin for Android Developers,free,"Take an Android app in Java and convert it to Kotlin, learning key features of the Kotlin programming language along the way.",advanced,3 Weeks,4.6,65,"Kotlin, Android","Prior experience with Python, Machine Learning, and Statistics",https://rcpmag.com/-/media/ECG/redmondmag/Images/introimages/131004SchwartzGates.jpg
UX Design for Mobile Developers,free,This is a design course made for developers. You'll learn UX design skills which will help you make 5-star mobile apps that your users will love.,beginner,6 Weeks,4.6,65,"Android, UX Design, User-Centered Design","Prior experience with Python, Machine Learning, and Statistics",https://rcpmag.com/-/media/ECG/redmondmag/Images/introimages/131004SchwartzGates.jpg
Software Development Process,free,"Software Development Processes explores requirements engineering, architecture and design, testing, and software quality in general.",intermediate,3 Weeks,4.6,65,"Software Development Life Cycle, Requirements Engineering, Design Patterns, Black-Box & White-Box Testing, Agile Development Methodology","Prior experience with Python, Machine Learning, and Statistics",https://www.cs.ucf.edu/wp-content/uploads/2022/05/Rickard-Ewetz-e1652727132143.jpg
Data Visualization in Tableau,free,Learn the fundamentals of data visualization and practice communicating with data.,beginner,3 Weeks,4.6,65,"Tableau, Design of Visualizations, Visual Encodings","Prior experience with Python, Machine Learning, and Statistics",https://www.cs.ucf.edu/wp-content/uploads/2022/05/Rickard-Ewetz-e1652727132143.jpg
Intro to Progressive Web Apps,free,In this course youâ€™ll get started working on your very first Progressive Web App (PWA) - a web app that can take advantage of many features native applications have enjoyed!,intermediate,2 Weeks,4.6,69,"Progressive Web Apps, Service Workers, Web App Manifest, Offline apps","Prior experience with Python, Machine Learning, and Statistics",https://www.cs.ucf.edu/wp-content/uploads/2019/09/Gary-Leavens735edit-scaled.jpg
Writing READMEs,free,Documentation is an important part of the development process. Learn to write READMEs using Markdown so your code can be used by other humans!,beginner,3 Weeks,4.6,69,"README, Markdown, Making code easier to read","Prior experience with Python, Machine Learning, and Statistics",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Haiyan-Hu288edit-scaled.jpg
Software Analysis & Testing,free,"This course covers the theory and practice of software analysis, which is at the heart of software development processes such as diagnosing bugs, testing, and debugging.",intermediate,16 Weeks,4.6,69,"Software Testing, Debugging, Dataflow Analysis, Constraint-based Analysis, Symbolic Execution","Prior experience with Python, Machine Learning, and Statistics",https://www.cs.ucf.edu/wp-content/uploads/2022/05/Rickard-Ewetz-e1652727132143.jpg
iOS Persistence and Core Data,free,"Persisting data is a core skill for any iOS developer. Learn how to store app data to your device using three common techniques: NSUserDefaults, Sandbox, and Core Data.",advanced,2 Weeks,4.6,69,"Data Persistence, Core Data, UserDefaults, FileManager","Prior experience with Python, Machine Learning, and Statistics",https://wikibio.in/wp-content/uploads/2018/07/Mankirt-Aulakh.jpg
Computer Networking,free,This is an advanced Computer Networking course that delves into the latest concepts and tools used by the CN industry.,intermediate,3 Weeks,4.6,69,"Software-Defined Networking, Data Center Networking, Content Distribution, Congestion Control, Traffic Shaping","HTML, CSS, Basic JavaScript, JSON",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Jens_Fink-Jensen.jpg
Firebase Analytics: iOS,free,"Learn how to grow an app's user base using Firebase Analytics, a free and unlimited analytics solution",intermediate,3 Weeks,4.6,56,"Android Development, Firebase Analytics, Firebase Crash Reporting, Firebase Remote Config, Firebase Dynamic Links","HTML, CSS, Basic JavaScript, JSON",https://pbs.twimg.com/profile_images/864282616597405701/M-FEJMZ0_400x400.jpg
Human-Computer Interaction,free,"This course is an introductory course on human-computer interaction, covering the principles, techniques, and open areas of development in HCI.",intermediate,16 Weeks,4.6,56,"Design Principles, Direct Manipulation Interfaces, Mental Models, Distributed Cognition, Prototyping","HTML, CSS, Basic JavaScript, JSON",https://pbs.twimg.com/profile_images/864282616597405701/M-FEJMZ0_400x400.jpg
2D Game Development with libGDX,free,"This course explores how to use LibGDX to build 2D games that run anywhere, from web browsers to mobile devices. At the end you will create a full game, called Icicles.",intermediate,8 Weeks,4.6,56,"LibGDX, Game Development, 2D","HTML, CSS, Basic JavaScript, JSON",https://pbs.twimg.com/profile_images/864282616597405701/M-FEJMZ0_400x400.jpg
Intro to jQuery,free,Learn how to access and modify the DOM with ease using jQuery!,intermediate,2 Weeks,4.6,56,"jQuery, DOM Structure, Reading jQuery documentation, Modify HTML attributes and content","HTML, CSS, Basic JavaScript, JSON",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Haiyan-Hu288edit-scaled.jpg
Cyber-Physical Systems Security,free,This course provides an introduction to security issues relating to cyber-physical systems including industrial control systems and critical infrastructures.,intermediate,16 Weeks,4.6,56,"Industrial Networks, Industrial Control Systems, Smart Grid Infrastructure, Cyber Security, Privacy","HTML, CSS, Basic JavaScript, JSON",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Alisher_Saipov.jpg
